OLD,NEW,TYPE
14,15,B
15,14,B
23,24,B
24,25,B
25,26,B
26,23,B
28,29,B
29,30,B
30,31,B
31,28,B
35,36,B
36,38,B
37,40,B
38,42,B
39,43,B
40,44,B
41,45,B
42,46,B
43,47,B
44,48,B
45,49,B
46,50,B
47,51,B
48,52,B
49,53,B
50,54,B
51,55,B
52,56,B
53,57,B
54,58,B
55,59,B
56,60,B
57,61,B
58,62,B
59,63,B
60,64,B
61,65,B
62,66,B
63,67,B
64,68,B
65,69,B
66,70,B
67,71,B
68,72,B
69,73,B
70,74,B
71,75,B
72,76,B
73,77,B
74,78,B
75,79,B
76,80,B
77,81,B
78,82,B
79,83,B
rotz,z,A
roty,y,A
rotx,x,A
x,rotx,A
y,roty,A
z,rotz,A
