OLD,NEW,TYPE
1,2,B
2,1,B
5,7,B
6,8,B
7,5,B
8,6,B
11,,B
13,,B
14,11,B
15,13,B
16,14,B
17,15,B
18,16,B
19,18,B
20,19,B
21,20,B
22,17,B
23,21,B
24,22,B
25,23,B
26,24,B
27,25,B
28,26,B
29,27,B
30,28,B
31,29,B
32,30,B
33,31,B
34,39,B
35,40,B
36,41,B
37,42,B
38,43,B
39,44,B
40,38,B
41,32,B
42,34,B
43,33,B
44,35,B
45,37,B
46,36,B
47,45,B
48,46,B
49,47,B
50,48,B
51,49,B
52,50,B
53,51,B
54,52,B
55,53,B
56,54,B
57,55,B
58,56,B
59,57,B
60,58,B
61,59,B
62,60,B
63,61,B
64,62,B
65,63,B
66,64,B
67,65,B
68,66,B
69,67,B
70,68,B
y,rY,A
x,rX,A
rX,X,A
rY,Y,A
rZ,Z,A
